date,region,avg_ta,min_ta,max_ta,sum_rn
2025-09-24,창원,24.0,21.0,27.6,4.8
2025-09-25,창원,24.2,22.5,25.7,1.9
2025-09-26,창원,24.1,21.8,30.3,0.0
2025-09-27,창원,23.6,21.3,28.7,0.0
2025-09-28,창원,23.6,21.1,26.5,5.0
2025-09-29,창원,22.6,20.4,27.1,0.0
2025-09-30,창원,21.5,18.5,26.1,0.0
2025-10-01,창원,22.0,18.0,28.1,0.0
2025-10-02,창원,21.5,18.5,24.9,0.1
2025-10-03,창원,19.2,18.2,20.9,58.6
2025-10-04,창원,22.2,19.1,25.9,1.4
2025-10-05,창원,23.2,20.7,27.9,0.3
2025-10-06,창원,21.2,20.6,22.4,8.6
2025-10-07,창원,21.5,20.2,24.0,4.6
2025-10-08,창원,22.2,19.4,25.0,0.0
2025-10-09,창원,21.0,18.8,24.9,0.0
2025-10-10,창원,20.8,16.5,26.3,0.0
2025-10-11,창원,22.2,17.8,28.7,0.0
2025-10-12,창원,21.9,19.4,27.7,4.2
2025-10-13,창원,21.4,19.1,24.7,0.0
2025-10-14,창원,19.9,18.1,21.3,17.1
2025-10-15,창원,20.9,17.8,24.5,0.0
2025-10-16,창원,21.5,18.2,26.2,13.8
2025-10-17,창원,20.6,16.8,25.0,0.0
2025-10-18,창원,20.0,18.8,22.1,1.5
2025-10-19,창원,18.8,17.2,21.6,0.0
2025-10-20,창원,17.4,13.2,22.2,0.0
2025-10-21,창원,16.1,14.0,17.9,0.0
2025-10-22,창원,17.6,14.9,20.5,0.0
2025-10-23,창원,17.6,14.0,22.8,0.0
2025-10-24,창원,17.3,13.6,22.2,0.6
2025-10-25,창원,17.6,14.2,23.7,0.0
2025-10-26,창원,16.4,13.3,20.7,0.0
2025-10-27,창원,12.6,8.5,15.8,0.0
2025-10-28,창원,10.4,7.3,15.4,0.0
2025-10-29,창원,11.8,6.1,18.0,0.0
2025-10-30,창원,13.2,8.2,18.0,0.0
2025-10-31,창원,14.2,10.7,20.4,0.0
2025-11-01,창원,15.1,11.0,20.6,0.0
2025-11-02,창원,13.1,8.2,19.3,0.0
2025-11-03,창원,11.0,5.6,16.4,0.0
2025-11-04,창원,13.2,8.2,19.9,0.0
2025-11-05,창원,14.1,9.4,20.2,0.0
2025-11-06,창원,14.7,9.8,20.7,0.0
2025-11-07,창원,15.2,10.4,20.9,0.0
2025-11-08,창원,15.0,12.1,19.7,8.1
2025-11-09,창원,15.5,12.4,19.9,14.1
2025-11-10,창원,11.7,7.5,16.0,0.0
2025-11-11,창원,11.5,7.3,16.9,0.0
2025-11-12,창원,10.9,6.6,14.5,0.0
2025-11-13,창원,12.9,8.9,18.5,0.0
2025-11-14,창원,12.5,7.7,18.1,0.0
2025-11-15,창원,12.2,7.4,18.0,0.0
2025-11-16,창원,13.0,7.0,20.4,0.0
2025-11-17,창원,9.6,4.5,13.5,0.0
2025-11-18,창원,5.7,2.8,10.0,0.0
2025-11-19,창원,6.9,3.3,11.8,0.0
2025-11-20,창원,9.8,2.5,16.6,0.0
2025-11-21,창원,10.2,6.9,15.4,0.0
2025-11-22,창원,9.2,4.5,15.2,0.0
2025-11-23,창원,10.4,4.7,16.1,0.0
2025-11-24,창원,13.0,9.1,18.5,0.0
2025-11-25,창원,10.0,6.4,16.1,1.4
2025-11-26,창원,9.2,5.8,14.3,0.0
2025-11-27,창원,9.5,6.8,14.3,2.6
2025-11-28,창원,6.9,3.1,11.5,0.0
2025-11-29,창원,8.3,1.5,15.2,0.0
2025-11-30,창원,14.2,8.5,20.4,0.0
2025-12-01,창원,11.7,7.6,16.5,0.0
2025-12-02,창원,7.0,3.2,10.8,0.0
2025-12-03,창원,1.4,-1.8,6.6,0.0
2025-12-04,창원,2.1,-3.1,6.7,0.0
2025-12-05,창원,2.9,-0.2,6.7,0.0
2025-12-06,창원,4.3,-1.6,9.5,0.0
2025-12-07,창원,8.8,3.1,15.4,0.0
2025-12-08,창원,8.2,4.4,11.5,0.0
2025-12-09,창원,5.5,1.8,9.7,0.0
2025-12-10,창원,7.5,3.2,12.4,0.0
2025-12-11,창원,9.5,5.5,17.3,0.2
2025-12-12,창원,6.0,2.4,11.1,0.0
2025-12-13,창원,7.1,2.7,12.8,3.4
2025-12-14,창원,4.4,1.8,8.3,0.0
2025-12-15,창원,4.3,-0.8,9.2,0.0
2025-12-16,창원,6.5,0.7,10.7,0.1
2025-12-17,창원,8.1,5.2,13.1,1.2
2025-12-18,창원,6.4,2.9,12.7,0.0
2025-12-19,창원,8.5,3.2,15.2,0.0
2025-12-20,창원,11.3,6.6,16.6,0.1
2025-12-21,창원,4.4,1.1,13.3,0.0
2025-12-22,창원,3.9,-1.1,10.0,0.0
2025-12-23,창원,5.6,0.8,9.2,1.0
2025-12-24,창원,7.3,6.0,9.1,3.9
2025-12-25,창원,2.6,-2.2,6.4,0.0
2025-12-26,창원,-2.9,-6.5,0.1,0.0
2025-12-27,창원,0.6,-4.1,5.6,0.0
2025-12-28,창원,4.6,-0.4,10.0,0.0
2025-12-29,창원,7.8,2.2,15.3,0.4
2025-12-30,창원,5.2,2.8,8.6,0.0
2025-12-31,창원,0.8,-2.8,4.3,0.0
2026-01-01,창원,-2.6,-4.5,0.1,0.0
2026-01-02,창원,-2.9,-7.5,1.2,0.0
2026-01-03,창원,-0.3,-4.8,5.3,0.0
2026-01-04,창원,3.6,-2.1,9.6,0.0
2026-01-05,창원,4.1,-0.1,9.1,0.0
2026-01-06,창원,2.8,-3.4,9.6,0.0
2026-01-07,창원,3.9,0.1,10.3,0.0
2026-01-08,창원,-0.6,-3.7,3.2,0.0
2026-01-09,창원,1.7,-4.4,7.0,0.0
2026-01-10,창원,6.9,0.7,13.4,0.0
2026-01-11,창원,-0.9,-3.4,3.0,0.0
2026-01-12,창원,0.4,-5.7,6.4,0.0
2026-01-13,창원,5.3,-1.1,10.0,0.0
2026-01-14,창원,2.9,-2.8,7.9,0.0
2026-01-15,창원,11.8,4.4,19.0,0.1
2026-01-16,창원,8.7,3.6,16.1,0.0
2026-01-17,창원,8.3,4.7,13.4,0.0
2026-01-18,창원,7.2,2.6,13.6,0.0
2026-01-19,창원,4.8,-0.6,8.9,0.0
2026-01-20,창원,-0.2,-3.3,4.8,0.0
2026-01-21,창원,-2.7,-5.9,2.1,0.0
2026-01-22,창원,-3.6,-7.7,1.2,0.0
2026-01-23,창원,-0.5,-6.2,6.6,0.0
2026-01-24,창원,1.2,-2.3,5.1,0.0
2026-01-25,창원,0.8,-3.4,5.8,0.0
2026-01-26,창원,1.1,-4.0,4.7,0.0
2026-01-27,창원,1.8,-1.2,6.3,0.0
2026-01-28,창원,0.1,-2.6,4.1,0.0
2026-01-29,창원,0.9,-3.3,6.6,0.0
2026-01-30,창원,-1.1,-3.6,1.6,0.0
2026-01-31,창원,1.2,-3.1,6.7,0.0
2026-02-01,창원,2.0,-2.6,7.4,0.0
2026-02-02,창원,0.8,-2.6,5.3,0.0
2026-02-03,창원,1.7,-4.3,7.8,0.0
2026-02-04,창원,5.1,0.5,11.1,0.0
2026-02-05,창원,7.8,1.8,13.4,0.0
2026-02-06,창원,5.4,2.4,8.8,0.0
2026-02-07,창원,-0.3,-4.5,4.8,0.0
2026-02-08,창원,-3.5,-7.3,0.5,0.0
2026-02-09,창원,0.9,-4.9,8.5,0.0
2026-02-10,창원,3.2,-0.8,7.2,0.6
2026-02-11,창원,6.2,2.2,12.3,0.0
2026-02-12,창원,5.8,0.8,12.7,0.0
2026-02-13,창원,6.7,0.5,14.3,0.0
2026-02-14,창원,9.1,2.4,16.7,0.0
2026-02-15,창원,11.4,4.5,18.7,0.0
2026-02-16,창원,8.2,5.0,13.3,0.0
2026-02-17,창원,6.8,1.4,12.6,0.0
2026-02-18,창원,6.6,0.2,13.6,0.0
2026-02-19,창원,6.0,0.4,12.5,0.0
2026-02-20,창원,8.6,1.9,15.6,0.0
2026-02-21,창원,9.9,3.1,17.0,0.0
2026-02-22,창원,14.2,7.0,21.2,0.0
2026-02-23,창원,6.7,2.4,12.9,0.0
2026-02-24,창원,4.4,2.4,6.6,26.2
